pre;ACD_avg;ACD_max;ACD_sum;FOUT_avg;FOUT_max;FOUT_sum;MLOC_avg;MLOC_max;MLOC_sum;NBD_avg;NBD_max;NBD_sum;NOCU;NOF_avg;NOF_max;NOF_sum;NOI_avg;NOI_max;NOI_sum;NOM_avg;NOM_max;NOM_sum;NOT_avg;NOT_max;NOT_sum;NSF_avg;NSF_max;NSF_sum;NSM_avg;NSM_max;NSM_sum;PAR_avg;PAR_max;PAR_sum;TLOC_avg;TLOC_max;TLOC_sum;VG_avg;VG_max;VG_sum;post
5;0.083333333;1;1;2.127272727;12;234;4.518181818;29;497;1.554545455;5;171;12;1.25;5;15;0.083333333;1;1;9.083333333;25;109;0.916666667;1;11;0.333333333;2;4;0.083333333;1;1;0.736363636;5;81;69.08333333;177;829;1.918181818;10;211;0
4;0;0;0;4.282051282;24;167;11.25641026;57;439;2.076923077;7;81;8;2.333333333;8;21;0;0;0;4.222222222;10;38;1;1;8;0.333333333;2;3;0.111111111;1;1;1.025641026;5;40;78.125;251;625;3.923076923;23;153;1
7;0.454545455;4;5;4.811111111;62;433;7.111111111;50;640;1.688888889;5;152;11;1.833333333;9;22;0.090909091;1;1;7.333333333;26;88;0.909090909;1;10;0.25;2;3;0.166666667;1;2;0.866666667;3;78;95.09090909;354;1046;2.211111111;13;199;1
9;3.166666667;19;38;5.89261745;66;878;9.724832215;119;1449;1.899328859;6;283;12;3.785714286;13;53;0.083333333;1;1;10.57142857;37;148;0.916666667;1;11;0.357142857;2;5;0.071428571;1;1;0.718120805;6;107;174.25;649;2091;2.234899329;14;333;1
12;0.515151515;2;17;5.073891626;62;1030;8.81773399;90;1790;1.827586207;6;371;33;1.128205128;9;44;0.060606061;1;2;4.820512821;18;188;0.939393939;1;31;0.230769231;2;9;0.384615385;9;15;1.014778325;4;206;86.42424242;257;2852;2.502463054;26;508;1
5;0.5;4;8;3.5;41;406;7.439655172;66;863;1.818965517;7;211;16;1.52173913;6;35;0;0;0;4.956521739;25;114;1;1;16;0.434782609;3;10;0.086956522;1;2;0.896551724;4;104;82.75;280;1324;2.50862069;16;291;0
9;2.1;11;21;6.396226415;47;678;10.76415094;78;1141;1.981132075;7;210;10;3.533333333;13;53;0;0;0;7;22;105;1;1;10;0.533333333;2;8;0.066666667;1;1;0.820754717;3;87;165.9;470;1659;2.575471698;11;273;1
18;0.916666667;17;22;5.294117647;47;1080;8.617647059;74;1758;1.965686275;10;401;24;2.296296296;18;62;0.041666667;1;1;6.888888889;69;186;0.958333333;1;23;0.407407407;4;11;0.666666667;9;18;0.676470588;4;138;111.5;1106;2676;2.558823529;23;522;0
2;0;0;0;4.458333333;28;107;9.541666667;41;229;2.125;5;51;6;0.142857143;1;1;0;0;0;3.285714286;5;23;1;1;6;0.285714286;2;2;0.142857143;1;1;1.541666667;3;37;61.66666667;171;370;3.041666667;13;73;0
5;0.166666667;1;1;2.918032787;15;178;5.049180328;26;308;1.37704918;4;84;6;1.571428571;6;11;0;0;0;4.857142857;11;34;1;1;6;7.428571429;45;52;3.857142857;24;27;0.770491803;4;47;94.16666667;294;565;1.786885246;4;109;1
2;0.263157895;2;5;1.671296296;19;361;3.722222222;41;804;1.319444444;5;285;19;2;10;40;0.263157895;1;5;10.1;56;202;0.736842105;1;14;0.25;2;5;0.7;14;14;0.717592593;5;155;75.26315789;242;1430;1.592592593;10;344;1
0;0;0;0;2.384615385;11;124;5.307692308;14;276;1.5;3;78;7;1.285714286;3;9;0;0;0;6.571428571;18;46;1;1;7;2;10;14;0.857142857;6;6;1.211538462;3;63;64.42857143;157;451;2.442307692;7;127;1
1;3;5;6;8.904761905;35;187;12;59;252;1.571428571;3;33;2;5.5;10;11;0;0;0;10.5;13;21;1;1;2;1;2;2;0;0;0;0.523809524;2;11;172.5;265;345;1.380952381;3;29;1
2;0.333333333;1;2;8.25;26;198;11.79166667;48;283;1.916666667;5;46;6;0;0;0;0;0;0;4;7;24;1;1;6;0;0;0;0;0;0;1.208333333;3;29;69.66666667;117;418;2.875;9;69;1
2;0.333333333;2;2;6.451612903;36;200;11.83870968;70;367;1.516129032;4;47;6;3.666666667;7;22;0;0;0;4.833333333;8;29;1;1;6;0;0;0;0.333333333;2;2;0.967741935;3;30;84.33333333;202;506;2.161290323;7;67;1
0;1.5;3;3;5.454545455;17;120;8.272727273;30;182;1.363636364;3;30;2;0.5;1;1;0;0;0;5.5;11;11;1;1;2;0.5;1;1;5.5;11;11;1.636363636;5;36;139;155;278;1.681818182;8;37;0
12;1.230769231;12;16;6.806722689;51;810;11.4789916;81;1366;1.647058824;5;196;13;2.882352941;25;49;0.076923077;1;1;6.941176471;40;118;0.923076923;1;12;0.411764706;3;7;0.058823529;1;1;0.798319328;4;95;142.1538462;1000;1848;2.680672269;14;319;1
17;2.384615385;21;62;6.471311475;54;1579;11.51229508;113;2809;1.778688525;6;434;26;2.145833333;18;103;0.076923077;1;2;4.916666667;22;236;0.923076923;1;24;0.5;7;24;0.166666667;6;8;0.852459016;5;208;148.3846154;702;3858;2.573770492;16;628;1
1;0;0;0;2.5;3;5;3.5;4;7;1;1;2;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;2;2;2;1;1;2;19;19;19;1;1;2;0
5;1.217391304;15;28;2.720524017;40;623;6.179039301;104;1415;1.397379913;7;320;23;3.111111111;26;84;0.47826087;1;11;7.62962963;35;206;0.52173913;1;12;1;8;27;0.814814815;17;22;0.934497817;9;214;98;713;2254;2.257641921;23;517;1
6;7;28;35;7.265402844;104;1533;14.97630332;141;3160;1.890995261;7;399;5;10.16666667;72;122;0.6;1;3;16.83333333;104;202;0.4;1;2;2;17;24;0.75;9;9;1.440758294;14;304;768;3206;3840;4.867298578;40;1027;1
5;0.410714286;4;23;3.603070175;48;1643;7.76754386;85;3542;1.64254386;6;749;56;2.161764706;11;147;0.089285714;1;5;5.5;42;374;0.910714286;1;51;1.602941176;33;109;1.205882353;32;82;1.186403509;7;541;91.32142857;769;5114;2.778508772;28;1267;0
0;0;0;0;3;18;24;7.75;42;62;1.625;4;13;3;0.333333333;1;1;0;0;0;2.333333333;5;7;1;1;3;0.666666667;2;2;0.333333333;1;1;2.375;9;19;36.66666667;61;110;2.75;12;22;0
4;1.9;9;19;7.211864407;55;851;15.09322034;93;1781;2.169491525;8;256;10;4.083333333;9;49;0;0;0;9.5;31;114;1;1;10;1.25;6;15;0.333333333;2;4;0.991525424;5;117;221.1;809;2211;4.177966102;30;493;0
0;0;0;0;2.714285714;26;114;6.761904762;57;284;1.333333333;5;56;5;2.4;7;12;0.2;1;1;5.8;14;29;0.8;1;4;2;7;10;2.6;13;13;1.619047619;7;68;83;279;415;2.571428571;25;108;0
1;0.769230769;7;10;2.158940397;34;326;6.238410596;68;942;1.443708609;6;218;13;2.222222222;12;40;0.461538462;1;6;8.333333333;24;150;0.538461538;1;7;0.722222222;10;13;0.055555556;1;1;1.099337748;6;166;105.1538462;424;1367;2.57615894;23;389;0
0;0;0;0;0.777777778;6;49;1.698412698;11;107;0.904761905;3;57;9;1;3;11;0.555555556;1;5;5.090909091;13;56;0.444444444;1;4;1.272727273;8;14;0.636363636;7;7;0.777777778;4;49;33.33333333;101;300;0.936507937;4;59;0
0;0.333333333;1;1;6.363636364;25;70;6.818181818;22;75;1.818181818;4;20;3;1.25;2;5;0;0;0;2.75;4;11;1;1;3;0;0;0;0;0;0;0.818181818;3;9;46.33333333;72;139;2;5;22;0
0;0.642857143;2;9;3.814814815;32;515;5.525925926;39;746;1.711111111;7;231;14;2.470588235;10;42;0.142857143;1;2;7.352941176;26;125;0.857142857;1;12;1.294117647;7;22;0.529411765;7;9;0.718518519;3;97;92.28571429;264;1292;1.903703704;10;257;0
0;0;0;0;3.226950355;36;455;17.37588652;299;2450;1.893617021;6;267;10;8.846153846;39;115;0.1;1;1;10.23076923;54;133;0.9;1;9;1.384615385;8;18;0.615384615;3;8;1.219858156;7;172;334.5;1675;3345;5.787234043;122;816;1
0;0.055555556;1;1;5.642487047;40;1089;6.943005181;50;1340;1.523316062;5;294;18;2.65;13;53;0.166666667;1;3;7.2;27;144;0.833333333;1;15;10.95;91;219;2.45;21;49;0.979274611;7;189;118.1666667;353;2127;2.347150259;10;453;0
0;0;0;0;4.558823529;28;310;6.058823529;36;412;1.176470588;3;80;8;3.875;12;31;0.125;1;1;8.5;40;68;0.875;1;7;0.125;1;1;0;0;0;2.088235294;9;142;76;359;608;1.485294118;5;101;0
0;0;0;0;10.06707317;54;1651;10.70731707;57;1756;1.737804878;5;285;7;6;19;48;0.142857143;1;1;20.25;61;162;0.857142857;1;6;0.5;2;4;0.25;1;2;1.12195122;6;184;317;900;2219;2.951219512;14;484;0
0;0;0;0;7.173076923;35;373;8.826923077;31;459;1.730769231;4;90;4;5.75;7;23;0;0;0;13;16;52;1;1;4;0.75;3;3;0;0;0;0.596153846;3;31;156.25;240;625;2.673076923;9;139;0
0;0;0;0;6.580645161;37;408;9.838709677;43;610;2.048387097;5;127;9;1.444444444;5;13;0;0;0;5.444444444;23;49;1;1;9;0.333333333;1;3;1.444444444;7;13;0.903225806;4;56;93.33333333;329;840;3.370967742;12;209;0
0;0;0;0;2.7;26;243;5.455555556;75;491;1.488888889;4;134;10;2.7;10;27;0;0;0;8.8;19;88;1;1;10;1.8;10;18;0.2;1;2;0.955555556;3;86;80.1;188;801;2.022222222;18;182;0
0;0.8;4;8;2.712871287;50;274;5.079207921;76;513;1.069306931;4;108;10;1.647058824;6;28;0.5;1;5;5.823529412;19;99;0.5;1;5;0.411764706;6;7;0.117647059;2;2;0.871287129;3;88;79.3;507;793;1.495049505;9;151;0
0;1.071428571;6;15;3.65258216;32;778;8.164319249;78;1739;1.713615023;6;365;14;5.1;28;102;0.142857143;1;2;10.45;65;209;0.857142857;1;12;0.85;5;17;0.2;3;4;0.929577465;5;198;179.6428571;836;2515;3.046948357;26;649;0
0;0.241935484;5;15;2.314505777;33;1803;5.350449294;85;4168;1.231065469;6;959;62;2.378947368;47;226;0.661290323;1;41;8.147368421;175;774;0.338709677;1;21;0.389473684;12;37;0.052631579;2;5;0.880616175;8;686;98.43548387;2611;6103;2.146341463;28;1672;0
0;0.695652174;7;16;3.062043796;36;839;6.711678832;75;1839;1.401459854;6;384;23;3.533333333;28;106;0.52173913;1;12;9.066666667;71;272;0.47826087;1;11;0.633333333;7;19;0.066666667;1;2;0.98540146;8;270;116.4782609;912;2679;2.489051095;25;682;0
0;0;0;0;2.362637363;29;215;4.054945055;25;369;1.274725275;6;116;10;1.4;9;21;0.5;1;5;6.066666667;25;91;0.5;1;5;0.4;5;6;0;0;0;1.21978022;5;111;62.7;334;627;1.703296703;10;155;0
0;0.166666667;1;1;1.8;15;72;3.9;24;156;1.05;3;42;6;1;4;7;0.833333333;1;5;5.714285714;17;40;0.166666667;1;1;0.142857143;1;1;0;0;0;0.875;2;35;47.33333333;254;284;1.575;8;63;0
0;0.75;3;3;3.387755102;32;332;6.581632653;63;645;1.632653061;5;160;4;2.588235294;21;44;0;0;0;5.705882353;35;97;1;1;4;0.470588235;4;8;0;0;0;1.214285714;5;119;246.5;659;986;2.826530612;22;277;0
0;0;0;0;3.942857143;23;138;5.914285714;29;207;1.4;5;49;5;2;10;12;0.8;1;4;5.833333333;17;35;0.2;1;1;0.166666667;1;1;0;0;0;1.2;3;42;67.2;307;336;2.342857143;10;82;0
0;0;0;0;1.922222222;21;173;3.911111111;46;352;1.222222222;5;110;13;1.6;8;24;0.538461538;1;7;6;18;90;0.461538462;1;6;0.133333333;2;2;0;0;0;0.666666667;4;60;46.61538462;248;606;1.588888889;9;143;0
0;0;0;0;3.225352113;51;458;6.373239437;88;905;1.457746479;5;207;24;2.333333333;9;56;0.333333333;1;8;5.916666667;24;142;0.666666667;1;16;0.666666667;8;16;0;0;0;1.415492958;7;201;57.375;361;1377;2.598591549;24;369;0
0;0.731707317;6;30;3.253141831;46;1812;6.675044883;97;3718;1.405745063;7;783;41;2.907692308;22;189;0.512195122;1;21;8.369230769;43;544;0.487804878;1;20;0.415384615;4;27;0.184615385;3;12;1.077199282;7;600;133.7073171;733;5482;2.527827648;25;1408;0
0;0.5;2;5;4.11299435;39;728;8.09039548;73;1432;1.90960452;9;338;10;2.526315789;11;48;0.1;1;1;9.315789474;65;177;0.9;1;9;0.842105263;5;16;0;0;0;1.271186441;8;225;204.2;1048;2042;3.039548023;23;538;0
0;0.166666667;1;1;2.492063492;33;157;4.619047619;64;291;1.365079365;4;86;6;2.428571429;8;17;0;0;0;8.571428571;27;60;1;1;6;0.428571429;2;3;0.428571429;3;3;1.380952381;7;87;82.83333333;237;497;1.714285714;11;108;0
0;0;0;0;4.612244898;49;226;6;56;294;1.530612245;4;75;4;2.5;6;10;0;0;0;11.5;19;46;1;1;4;2.5;8;10;0.75;3;3;1.081632653;3;53;117.75;219;471;2.469387755;12;121;0
19;0.054054054;1;2;5.937704918;84;1811;9.567213115;137;2918;1.967213115;9;600;37;1.075;5;43;0;0;0;6.45;33;258;1;1;37;0.425;7;17;1.175;17;47;0.983606557;4;300;114.5135135;616;4237;3.003278689;28;916;1
0;0;0;0;11;11;11;7;7;7;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;12;12;12;1;1;1;0
17;0.041666667;1;1;3.275590551;35;832;6.275590551;85;1594;1.468503937;8;373;24;1.24;9;31;0.458333333;1;11;6.96;31;174;0.541666667;1;13;3.76;59;94;3.2;76;80;0.874015748;4;222;101.7916667;1013;2443;2.122047244;21;539;1
1;0;0;0;6.040540541;40;447;9.837837838;57;728;2.148648649;7;159;8;1;3;8;0.125;1;1;8.25;15;66;0.875;1;7;0.25;1;2;1;6;8;0.837837838;2;62;132.375;424;1059;3.081081081;19;228;1
6;0;0;0;3.189189189;17;118;5.891891892;39;218;1.891891892;9;70;6;1.166666667;3;7;0;0;0;6.166666667;9;37;1;1;6;0.833333333;1;5;0;0;0;0.405405405;2;15;66.33333333;116;398;2.189189189;11;81;0
30;0;0;0;0.439293598;13;199;1.150110375;40;521;0.282560706;4;128;89;0.266666667;8;24;0.91011236;1;81;4.911111111;46;442;0.08988764;1;8;2.555555556;97;230;0.122222222;6;11;0.759381898;5;344;19.11235955;254;1701;0.463576159;12;210;1
0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;5;5;5;0;0;0;0
7;3.55;56;71;3.208737864;26;661;5.412621359;35;1115;1.519417476;5;313;20;2.19047619;8;46;0;0;0;6.476190476;15;136;1;1;20;3.523809524;56;74;0.142857143;2;3;0.966019417;4;199;99.45;711;1989;1.825242718;8;376;1
6;0;0;0;0.717948718;18;56;1.743589744;30;136;0.525641026;3;41;19;1.157894737;7;22;0.684210526;1;13;3.736842105;9;71;0.315789474;1;6;0;0;0;0.368421053;7;7;0.58974359;7;46;19.26315789;88;366;0.743589744;11;58;0
9;0;0;0;0.492957746;14;35;1.563380282;35;111;0.422535211;4;30;4;0.5;2;2;0.75;1;3;17.75;31;71;0.25;1;1;1.5;4;6;0;0;0;0.633802817;3;45;54.75;144;219;0.535211268;9;38;0
2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;2;0;0;0;0;0;0;6.5;7;13;0;0;0;0;0;0;9.5;10;19;0;0;0;0
4;0.04;1;1;0.552845528;14;68;2.048780488;34;252;0.650406504;5;80;25;1.92;11;48;0.48;1;12;4.92;16;123;0.52;1;13;0.48;5;12;0;0;0;0.650406504;11;80;25;104;625;0.910569106;11;112;1
3;0;0;0;0.434782609;10;20;1.847826087;20;85;0.608695652;3;28;10;1.7;7;17;0.5;1;5;4.6;9;46;0.5;1;5;0.8;6;8;0;0;0;0.739130435;5;34;22.4;79;224;0.804347826;8;37;1
3;0.916666667;4;22;2.38976378;25;607;5.196850394;45;1320;1.263779528;5;321;24;3.733333333;17;112;0.25;1;6;8.3;31;249;0.75;1;18;0.466666667;5;14;0.033333333;1;1;0.822834646;6;209;95.45833333;374;2291;1.653543307;11;420;1
1;1.2;6;6;2.754385965;9;157;5.245614035;38;299;1.526315789;5;87;5;1;3;6;0.2;1;1;4.833333333;12;29;0.8;1;4;1.166666667;7;7;4.666666667;28;28;1.315789474;3;75;92.6;350;463;1.719298246;6;98;1
220;0.944444444;17;187;4.14752907;133;11414;7.506177326;226;20657;1.651889535;9;4546;198;3.016326531;30;739;0.075757576;1;15;10.55510204;155;2586;0.924242424;1;183;2.66122449;164;652;0.359183673;10;88;0.849927326;6;2339;153.6414141;2483;30421;2.493459302;56;6862;1
1;0.625;4;5;3.738095238;14;157;7.119047619;25;299;1.476190476;4;62;8;1.888888889;5;17;0;0;0;3.666666667;7;33;1;1;8;0;0;0;1;8;9;0.880952381;4;37;61.625;128;493;2.238095238;8;94;0
1;0.6;2;3;6.142857143;17;86;7.428571429;17;104;1.714285714;5;24;5;1.8;3;9;0;0;0;2.6;4;13;1;1;5;0;0;0;0;0;0;0.642857143;2;9;40.6;50;203;2.071428571;5;29;0
5;0.142857143;1;3;3.384615385;90;704;8.75;232;1820;1.408653846;6;293;21;5.142857143;13;108;0.095238095;1;2;8.523809524;22;179;0.904761905;1;19;2;17;42;1.380952381;21;29;0.826923077;4;172;126.1428571;582;2649;2.596153846;36;540;1
11;0.8;4;8;5.258064516;64;326;8.322580645;104;516;1.693548387;9;105;10;2.4;10;24;0;0;0;5.9;16;59;1;1;10;0.6;3;6;0.1;1;1;0.677419355;3;42;82.6;227;826;1.870967742;8;116;1
15;0.769230769;16;20;5.697329377;211;1920;12.41839763;308;4185;1.673590504;10;564;26;6.551724138;42;190;0.153846154;1;4;9.793103448;40;284;0.846153846;1;22;2.206896552;27;64;1.827586207;27;53;0.910979228;8;307;216.3846154;1481;5626;3.145400593;44;1060;1
12;1.555555556;5;14;4.56122449;59;447;9.326530612;159;914;1.897959184;7;186;9;2.6;11;39;0.111111111;1;1;5.2;20;78;0.888888889;1;8;0.866666667;6;13;0.333333333;4;5;0.959183673;3;94;155.3333333;460;1398;2.87755102;49;282;1
6;0.230769231;1;3;3.040540541;22;225;7.054054054;48;522;1.391891892;4;103;13;2.133333333;9;32;0.230769231;1;3;4.4;17;66;0.769230769;1;10;1;10;15;0.533333333;4;8;0.77027027;4;57;64.15384615;206;834;2.554054054;12;189;0
11;3;6;6;4.057142857;31;142;8.885714286;80;311;1.628571429;6;57;2;7.5;15;15;0.5;1;1;12;20;24;0.5;1;1;1.5;3;3;0;0;0;1.028571429;3;36;223;438;446;2.657142857;23;93;1
8;0.352941176;2;6;2.808641975;33;455;6.450617284;78;1045;1.50617284;7;244;17;3.944444444;11;71;0;0;0;8.944444444;37;161;1;1;17;1.722222222;22;31;0.055555556;1;1;0.987654321;9;160;100.3529412;494;1706;2.111111111;9;342;1
56;1.333333333;13;92;5.595307918;114;3816;9.372434018;151;6392;1.598240469;7;1090;69;3.853658537;22;316;0.014492754;1;1;8.12195122;33;666;0.985507246;1;68;1.109756098;12;91;0.158536585;4;13;0.793255132;8;541;138.5072464;1304;9557;2.275659824;17;1552;1
