pre;ACD_avg;ACD_max;ACD_sum;FOUT_avg;FOUT_max;FOUT_sum;MLOC_avg;MLOC_max;MLOC_sum;NBD_avg;NBD_max;NBD_sum;NOCU;NOF_avg;NOF_max;NOF_sum;NOI_avg;NOI_max;NOI_sum;NOM_avg;NOM_max;NOM_sum;NOT_avg;NOT_max;NOT_sum;NSF_avg;NSF_max;NSF_sum;NSM_avg;NSM_max;NSM_sum;PAR_avg;PAR_max;PAR_sum;TLOC_avg;TLOC_max;TLOC_sum;VG_avg;VG_max;VG_sum;post;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.5;1;1;1.258064516;5;39;2.064516129;14;64;1.032258065;2;32;2;1.5;3;3;0;0;0;15.5;20;31;1;1;2;0;0;0;0;0;0;0.967741935;2;30;71.5;116;143;1.290322581;6;40;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;0;0;0;0.231707317;9;19;0.756097561;26;62;0.231707317;3;19;13;0.153846154;2;2;0.923076923;1;12;5.384615385;18;70;0.076923077;1;1;2;15;26;0.923076923;12;12;0.62195122;3;51;20.30769231;114;264;0.280487805;5;23;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;0;0;0;1.732193732;63;608;3.712250712;174;1303;0.866096866;8;304;44;0.847826087;7;39;0.454545455;1;20;7.173913043;34;330;0.545454545;1;24;0.97826087;7;45;0.456521739;13;21;0.623931624;5;219;53.81818182;533;2368;1.353276353;32;475;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;0.055555556;1;1;4.206766917;127;1119;6.729323308;218;1790;1.244360902;4;331;18;4.666666667;26;84;0;0;0;14.72222222;59;265;1;1;18;2.777777778;29;50;0.055555556;1;1;0.80075188;4;213;146.6111111;1003;2639;2.481203008;54;660;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;0.088888889;2;4;7.057007126;53;2971;14.17339667;113;5967;2.152019002;10;906;45;1.693877551;7;83;0.044444444;1;2;6.979591837;31;342;0.955555556;1;43;1.285714286;18;63;1.591836735;15;78;1.007125891;5;424;168.6;814;7587;3.871733967;20;1630;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0;0;0;3.22;19;322;5.59;33;559;1.44;3;144;9;5.1;8;51;0;0;0;10;19;100;1;1;9;1.8;4;18;0;0;0;0.87;4;87;108.3333333;176;975;2.22;9;222;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;3.766666667;32;226;7.083333333;40;425;1.766666667;8;106;5;5.4;13;27;0;0;0;12;27;60;1;1;5;0.6;2;3;0;0;0;0.616666667;4;37;127.4;279;637;2.6;13;156;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0;0;0;0.028901734;2;5;0.080924855;11;14;0.028901734;2;5;8;5.625;45;45;0.875;1;7;21.125;127;169;0.125;1;1;1.25;8;10;0.5;4;4;0.878612717;4;152;40.25;139;322;0.040462428;4;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0.071428571;1;1;3.645933014;34;762;5.411483254;50;1131;1.33492823;7;279;14;0.933333333;3;14;0;0;0;12.6;60;189;1;1;14;0.333333333;3;5;1.333333333;16;20;1.354066986;4;283;129.7142857;715;1816;1.679425837;11;351;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.387096774;2;12;4.647321429;57;1041;7.450892857;86;1669;1.526785714;7;342;31;0.303030303;3;10;0.032258065;1;1;4.666666667;18;154;0.967741935;1;30;0.696969697;4;23;2.121212121;56;70;1.03125;5;231;76.35483871;811;2367;2.433035714;22;545;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0.083333333;1;1;3.065934066;38;558;6.989010989;60;1272;1.686813187;6;307;12;3.95;26;79;0.333333333;1;4;9.1;47;182;0.666666667;1;8;2.25;40;45;0;0;0;0.807692308;6;147;156.6666667;801;1880;2.395604396;14;436;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0;0;0;6.716981132;51;356;14.35849057;108;761;1.716981132;7;91;10;1.090909091;4;12;0;0;0;4.454545455;10;49;1;1;10;0.090909091;1;1;0.363636364;2;4;1.905660377;12;101;102.9;452;1029;3.962264151;30;210;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0;0;0;1.659793814;19;483;2.762886598;41;804;1.113402062;4;324;34;5.833333333;63;210;0.176470588;1;6;7.75;133;279;0.823529412;1;28;1.444444444;45;52;0.333333333;4;12;0.666666667;3;194;55.38235294;555;1883;1.378006873;8;401;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;2.253968254;28;142;3.428571429;33;216;1.142857143;3;72;11;1.090909091;3;12;0;0;0;5.181818182;16;57;1;1;11;1.090909091;7;12;0.545454545;6;6;0.698412698;3;44;40.18181818;97;442;1.428571429;7;90;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0;0;0;6.5;15;78;12.66666667;24;152;2.25;4;27;2;0;0;0;0;0;0;1;1;2;1;1;2;1;2;2;5;5;10;1;2;12;121;140;242;4;12;48;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;10;15;4.864864865;41;180;10.86486486;67;402;1.405405405;3;52;3;7.666666667;11;23;0;0;0;12.33333333;23;37;1;1;3;12;29;36;0;0;0;0.513513514;3;19;191.3333333;251;574;1.918918919;7;71;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;0.15;2;3;7.716171617;70;2338;14.330033;227;4342;1.798679868;6;545;20;2;9;48;0.1;1;2;12.04166667;51;289;0.9;1;18;7.166666667;79;172;0.583333333;7;14;1.04950495;7;318;267.65;1327;5353;4.838283828;56;1466;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;0.157894737;2;3;4.683673469;31;918;8.265306122;68;1620;1.760204082;5;345;19;1.368421053;5;26;0;0;0;5.210526316;15;99;1;1;19;4.421052632;50;84;5.105263158;54;97;1.168367347;5;229;118.9473684;781;2260;2.739795918;18;537;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0;0;0;1.655555556;43;596;3.583333333;67;1290;0.952777778;5;343;31;1.117647059;7;38;0.548387097;1;17;9.823529412;46;334;0.451612903;1;14;1.264705882;10;43;0.764705882;20;26;0.744444444;5;268;68.06451613;569;2110;1.588888889;18;572;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;0;0;0;1.014492754;10;140;2.5;22;345;1.108695652;4;153;13;3.538461538;9;46;0;0;0;10.61538462;21;138;1;1;13;0.923076923;5;12;0;0;0;0.442028986;2;61;56;195;728;1.485507246;9;205;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;0.214285714;3;3;4.348214286;58;487;6.892857143;62;772;1.821428571;5;204;14;0.666666667;4;10;0.214285714;1;3;4.866666667;20;73;0.785714286;1;11;3.6;20;54;2.6;23;39;0.866071429;4;97;90.92857143;338;1273;2.473214286;21;277;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;0.25;2;14;3.152;35;1182;4.344;72;1629;1.509333333;6;566;56;0.796610169;7;47;0;0;0;6.237288136;29;368;1;1;56;0.050847458;2;3;0.118644068;6;7;0.698666667;4;262;54.08928571;208;3029;1.746666667;11;655;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;1.444444444;10;13;4.829181495;49;1357;7.202846975;79;2024;1.743772242;7;490;9;4;36;60;0;0;0;18.4;152;276;1.111111111;2;10;1.866666667;16;28;0.333333333;2;5;0.644128114;4;181;324.2222222;1834;2918;2.252669039;16;633;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;0.875;8;14;4.939597315;84;736;6.765100671;111;1008;1.55033557;6;231;16;1.952380952;9;41;0.0625;1;1;6.666666667;26;140;0.9375;1;15;1.095238095;19;23;0.428571429;2;9;0.67114094;6;100;102.4375;379;1639;1.765100671;15;263;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;0.25;1;1;2.428571429;8;51;2.904761905;11;61;1.476190476;3;31;4;0.5;1;2;0.25;1;1;5;15;20;0.75;1;3;0.5;2;2;0.25;1;1;0.571428571;1;12;33;92;132;1.476190476;3;31;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.75;3;3;5.736842105;18;109;7.421052632;37;141;1.894736842;6;36;4;0.5;1;2;0;0;0;4.75;8;19;1;1;4;0;0;0;0;0;0;1.210526316;4;23;57;79;228;2.052631579;7;39;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;2;5;12;4.811881188;43;486;7.405940594;57;748;1.99009901;8;201;6;4;20;32;0;0;0;12;35;96;1;1;6;0.5;3;4;0.375;2;3;0.792079208;4;80;187.6666667;450;1126;2.435643564;16;246;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1;3;3;4.882352941;15;83;6.647058824;19;113;1.882352941;5;32;3;0;0;0;0;0;0;5.666666667;8;17;1;1;3;0;0;0;0;0;0;0.823529412;2;14;62.66666667;69;188;2;6;34;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2.25;5;9;5.855263158;26;445;11.21052632;55;852;2.407894737;9;183;4;3.166666667;10;19;0;0;0;12.66666667;43;76;1;1;4;0.333333333;2;2;0;0;0;0.960526316;5;73;288.25;659;1153;3.539473684;21;269;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2;8;8;5.289473684;65;402;6.421052632;40;488;1.815789474;5;138;4;3.8;14;19;0;0;0;15.2;43;76;1;1;4;1;5;5;0;0;0;0.723684211;3;55;194.5;543;778;2.078947368;9;158;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;0.5;4;7;2.635869565;89;485;3.527173913;89;649;1.163043478;10;214;14;1.733333333;15;26;0.642857143;1;9;11.4;54;171;0.357142857;1;5;7.066666667;95;106;0.733333333;11;11;0.717391304;3;132;91.78571429;463;1285;1.309782609;10;241;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0.5;1;2;1;1;4;2;0;0;0;0;0;0;2;2;4;1;1;2;0;0;0;0;0;0;0;0;0;10;10;20;1;1;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;0.5;1;1;3.6;16;54;6;18;90;1.466666667;3;22;2;3;6;9;0.5;1;1;5;10;15;0.5;1;1;3;8;9;0;0;0;1;4;15;87.5;163;175;1.533333333;4;23;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;2.333333333;4;14;6.696078431;67;683;10.00980392;93;1021;1.784313725;5;182;6;7.5;13;45;0;0;0;17;30;102;1;1;6;0.833333333;2;5;0;0;0;0.588235294;2;60;250.3333333;417;1502;2.323529412;12;237;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;0.868421053;13;33;6.152492669;120;2098;9.586510264;129;3269;1.879765396;6;641;38;1.822222222;19;82;0.078947368;1;3;6;52;270;0.921052632;1;35;3.133333333;74;141;1.577777778;15;71;1.134897361;8;387;126.3157895;1276;4800;2.80058651;34;955;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;0.451612903;9;28;4.112847222;56;2369;6.78125;82;3906;1.779513889;11;1025;62;1.684931507;15;123;0;0;0;7.808219178;43;570;1.032258065;2;64;0.438356164;14;32;0.054794521;2;4;0.822916667;5;474;101.5322581;507;6295;2.277777778;23;1312;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;0.363636364;4;4;5.233333333;50;471;7.533333333;50;678;1.688888889;5;152;11;1.916666667;11;23;0.090909091;1;1;7.416666667;32;89;0.909090909;1;10;0.166666667;2;2;0.083333333;1;1;0.866666667;3;78;97.72727273;450;1075;2.288888889;13;206;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;0.942857143;10;33;5.423076923;58;1551;8.818181818;102;2522;1.846153846;6;528;35;2.615384615;15;102;0.057142857;1;2;7.051282051;35;275;0.942857143;1;33;0.153846154;2;6;0.282051282;4;11;0.825174825;6;236;109.5142857;518;3833;2.36013986;21;675;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;0.666666667;8;12;5.057591623;45;966;8.005235602;71;1529;1.848167539;10;353;18;2.857142857;17;60;0.055555556;1;1;8.333333333;60;175;0.944444444;1;17;0.476190476;4;10;0.761904762;8;16;0.743455497;4;142;129.3888889;921;2329;2.382198953;20;455;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
