pre;ACD_avg;ACD_max;ACD_sum;FOUT_avg;FOUT_max;FOUT_sum;MLOC_avg;MLOC_max;MLOC_sum;NBD_avg;NBD_max;NBD_sum;NOCU;NOF_avg;NOF_max;NOF_sum;NOI_avg;NOI_max;NOI_sum;NOM_avg;NOM_max;NOM_sum;NOT_avg;NOT_max;NOT_sum;NSF_avg;NSF_max;NSF_sum;NSM_avg;NSM_max;NSM_sum;PAR_avg;PAR_max;PAR_sum;TLOC_avg;TLOC_max;TLOC_sum;VG_avg;VG_max;VG_sum;post;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0.666666667;1;2;1.607142857;4;45;2.75;14;77;1.142857143;3;32;3;1;2;3;0.333333333;1;1;9.333333333;16;28;0.666666667;1;2;1;3;3;0;0;0;0.714285714;2;20;59;102;177;1.357142857;3;38;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.166666667;1;2;2.805194805;12;216;3.961038961;29;305;1.402597403;4;108;12;1.25;4;15;0.166666667;1;2;6.083333333;15;73;0.833333333;1;10;1.333333333;5;16;0.25;2;3;0.662337662;2;51;46.83333333;127;562;1.636363636;7;126;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;0.40625;9;13;5.1375;36;1233;8.458333333;56;2030;1.616666667;8;388;32;2.333333333;13;77;0.0625;1;2;6.818181818;60;225;0.9375;1;30;1.363636364;13;45;0.272727273;3;9;0.8625;5;207;94.53125;815;3025;2.704166667;24;649;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;0.464285714;7;13;2.76;40;621;5.475555556;69;1232;1.24;5;279;28;2.035714286;13;57;0.321428571;1;9;7.785714286;47;218;0.678571429;1;19;1.321428571;18;37;0.142857143;2;4;0.68;3;153;73.39285714;618;2055;1.893333333;25;426;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1.115384615;14;29;5.883561644;128;1718;9.705479452;124;2834;1.726027397;6;504;26;3.411764706;43;116;0.115384615;1;3;7.264705882;51;247;0.884615385;1;23;2.735294118;25;93;1;28;34;0.825342466;5;241;154.8846154;1193;4027;2.79109589;26;815;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;11.2;27;56;21.2;53;106;2.2;4;11;1;4;4;4;0;0;0;5;5;5;1;1;1;0;0;0;0;0;0;0.4;1;2;138;138;138;6;16;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;2.176470588;8;74;3.705882353;19;126;1.411764706;4;48;5;0.4;1;2;0;0;0;4;8;20;1;1;5;1.8;9;9;2.8;14;14;0.647058824;3;22;48.6;126;243;1.558823529;5;53;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;5.730769231;31;894;10.37179487;75;1618;1.897435897;5;296;14;1;4;21;0.142857143;1;2;6.19047619;33;130;0.857142857;1;12;2.333333333;23;49;1.238095238;14;26;1.621794872;5;253;163.3571429;718;2287;2.974358974;16;464;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;8.75;19;35;29;72;116;2.5;3;10;1;0;0;0;0;0;0;0;0;0;1;1;1;9;9;9;4;4;4;0.25;1;1;141;141;141;8;18;32;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;0.5;1;1;2.5;5;5;1.5;2;3;1;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;1;1;1;0.5;1;1;16;16;16;1.5;2;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;0.75;2;3;1.25;2;5;1;1;4;1;1;1;1;0;0;0;4;4;4;1;1;1;0;0;0;0;0;0;0.5;1;2;21;21;21;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0.285714286;5;14;0.734693878;18;36;0.306122449;2;15;9;0.181818182;1;2;0.666666667;1;6;4.363636364;9;48;0.333333333;1;3;2;10;22;0.090909091;1;1;0.510204082;3;25;18.77777778;74;169;0.408163265;5;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;2.143939394;22;283;4.886363636;65;645;1.371212121;7;181;11;3.916666667;8;47;0;0;0;8.833333333;20;106;1;1;11;0.916666667;2;11;2.166666667;13;26;0.810606061;5;107;100.0909091;230;1101;2.143939394;19;283;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;1.428571429;9;110;4.285714286;36;330;1.194805195;4;92;10;0.785714286;3;11;0.4;1;4;5.071428571;26;71;0.6;1;6;0.357142857;3;5;0.428571429;5;6;0.844155844;2;65;54;211;540;1.792207792;8;138;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;0.222222222;1;2;5.980769231;28;622;10.45192308;71;1087;2.173076923;7;226;9;2.25;9;27;0;0;0;8.583333333;30;103;1;1;9;4.083333333;27;49;0.083333333;1;1;1.211538462;4;126;177.7777778;702;1600;3.673076923;25;382;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;3.339622642;24;177;7.79245283;51;413;1.660377358;5;88;6;3.5;7;21;0;0;0;6.833333333;13;41;1;1;6;1;4;6;2;12;12;1.018867925;5;54;102.5;213;615;3.037735849;20;161;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1.333333333;11;16;3.92920354;77;444;7.89380531;211;892;1.707964602;7;193;12;2.2;9;33;0.333333333;1;4;7.4;34;111;0.666666667;1;8;0.466666667;3;7;0.133333333;1;2;0.92920354;5;105;107.25;612;1287;2.460176991;30;278;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;0;0;0;2.308333333;20;277;5.15;40;618;1.433333333;5;172;20;1.44;10;36;0.15;1;3;4.8;14;120;0.85;1;17;0.6;7;15;0;0;0;0.966666667;4;116;55.05;304;1101;2.058333333;12;247;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;6;15;90;8.4;20;126;2.4;5;36;2;1.5;3;3;0;0;0;6.5;12;13;1;1;2;9;16;18;1;1;2;1;3;15;100;184;200;2.733333333;5;41;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0;0;0;4.4;30;176;8.65;57;346;1.775;4;71;3;2.2;5;22;0;0;0;3.7;8;37;1;1;3;0.2;2;2;0.3;2;3;2.025;5;81;170.3333333;482;511;2.725;13;109;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0;0;0;1.619047619;13;68;3.047619048;19;128;1.333333333;3;56;4;4.5;16;18;0.25;1;1;10.25;37;41;0.75;1;3;7.25;27;29;0.25;1;1;0.547619048;3;23;71.5;224;286;1.666666667;9;70;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;2;2;5;7;10;13.5;21;27;3;4;6;1;0;0;0;0;0;0;2;2;2;1;1;1;0;0;0;0;0;0;1.5;2;3;41;41;41;2.5;3;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;0.4;4;8;4.868055556;67;701;8.298611111;117;1195;1.645833333;7;237;20;2.238095238;9;47;0;0;0;6.476190476;22;136;1;1;20;0.523809524;4;11;0.380952381;4;8;0.909722222;6;131;93.85;322;1877;2.298611111;25;331;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;0;0;0;4.75862069;25;138;7.931034483;31;230;1.862068966;5;54;2;4;5;8;0;0;0;14.5;16;29;1;1;2;0.5;1;1;0;0;0;1.068965517;3;31;167.5;245;335;3.103448276;9;90;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;0;0;0;2.933333333;8;44;7.333333333;35;110;1.733333333;4;26;1;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;14;14;14;1.2;3;18;164;164;164;2.533333333;9;38;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;2.227272727;15;49;5.026578073;42;1513;7.215946844;85;2172;1.465116279;5;441;22;4.407407407;22;119;0.045454545;1;1;10.74074074;42;290;0.954545455;1;21;1.740740741;29;47;0.148148148;3;4;0.84717608;6;255;156.4090909;508;3441;1.820598007;17;548;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1.4;7;7;5.056603774;23;268;7.396226415;32;392;1.886792453;4;100;5;2.6;11;13;0;0;0;10.2;28;51;1;1;5;1.8;7;9;0.4;1;2;0.849056604;3;45;123.2;434;616;2.396226415;8;127;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;0.8;3;8;6.563636364;25;361;10.4;57;572;2.090909091;7;115;10;1.636363636;6;18;0;0;0;4.909090909;16;54;1;1;10;0.545454545;3;6;0.090909091;1;1;0.618181818;3;34;89.3;262;893;2.927272727;17;161;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;0.2;1;1;2.073170732;51;85;3.609756098;73;148;1.219512195;3;50;5;2.2;5;11;0;0;0;8;16;40;1;1;5;0.4;2;2;0.2;1;1;0.536585366;2;22;55.2;164;276;1.512195122;13;62;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1;1;1;4.909090909;17;54;9.545454545;38;105;2.181818182;4;24;1;9;9;9;0;0;0;11;11;11;1;1;1;1;1;1;0;0;0;0.909090909;2;10;154;154;154;2.454545455;5;27;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0.5;1;1;6;6;6;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1.833333333;7;11;5.708333333;28;411;8.513888889;42;613;1.694444444;5;122;6;3.166666667;11;19;0;0;0;9.666666667;27;58;1;1;6;0.5;2;3;2;11;12;0.791666667;3;57;151.8333333;420;911;2.125;16;153;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;8;8;8;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;0.153846154;1;2;4.045454545;29;356;8.727272727;62;768;1.738636364;5;153;13;1.733333333;8;26;0.230769231;1;3;3.733333333;11;56;0.769230769;1;10;8.933333333;61;134;2.133333333;13;32;1.113636364;5;98;95.38461538;256;1240;3.113636364;23;274;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;0;0;0;4.466666667;33;67;9.2;67;138;1.866666667;5;28;6;0.5;3;3;0;0;0;2.166666667;6;13;1;1;6;0.333333333;2;2;0.333333333;1;2;1.066666667;4;16;39.83333333;98;239;2.866666667;17;43;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0;0;0;5.958333333;49;143;8.75;65;210;1.75;6;42;4;1.6;4;8;0;0;0;3.8;8;19;1;1;4;7;29;35;1;5;5;0.833333333;3;20;87.5;180;350;2.958333333;16;71;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;1;4;11;4.559701493;40;611;7.768656716;51;1041;1.694029851;6;227;11;3.583333333;11;43;0.090909091;1;1;10.33333333;36;124;0.909090909;1;10;3.333333333;28;40;0.5;5;6;1.156716418;10;155;146;767;1606;2.179104478;15;292;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;0.210526316;2;4;2.5;14;200;4;27;320;1.3375;4;107;19;0.6;5;12;0.105263158;1;2;3.65;11;73;0.894736842;1;17;0.3;2;6;0.15;2;3;1.0375;3;83;33.84210526;142;643;1.6;10;128;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0.218390805;9;19;0.712643678;26;62;0.218390805;3;19;13;0.153846154;2;2;0.923076923;1;12;5.769230769;21;75;0.076923077;1;1;2;15;26;0.923076923;12;12;0.666666667;4;58;20;113;260;0.264367816;5;23;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;0;0;0;1.862921348;65;829;3.543820225;136;1577;0.948314607;7;422;51;1;7;54;0.490196078;1;25;7.574074074;44;409;0.509803922;1;26;1.277777778;8;69;0.666666667;19;36;0.721348315;6;321;54.90196078;544;2800;1.46741573;29;653;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
